"id","code","name"
activity_181001,181001,SERVICIOS DE COSTURA Y SASTRERIA (COSTURERAS Y SASTRES)
activity_181002,181002,FABRICACION DE PRENDAS DE VESTIR (ROPA DE TODO TIPO)
activity_182001,182001,ADOBO Y TEÑIDO DE PIELES; FABRICACIÓN DE ARTÍCULOS DE PIEL NATURAL O ARTIFICIAL
activity_191101,191101,"FABRICACIóN DE MALETAS, BOLSOS DE MANO Y ARTICULOS SIMILARES"
activity_192001,192001,FABRICACION DE  TODO TIPO DE ZAPATOS EXEPTO EL ORTOPEDICO
activity_201002,201002,ASERRADO Y ACEPILLADURA DE MADERA
activity_202101,202101,"FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS COMO PLYWOOD, DURPANEL"
activity_202201,202201,FABRICACION DE PARTES Y PIEZAS DE CARPINTERIA PARA EDIFICIOS Y CONSTRUCCIONES
activity_202301,202301,FABRICACIóN DE TARIMAS
activity_202902,202902,"FABRICACIóN  Y/O VENTA DE ATAUDES (CAJAS MORTUORIAS, FERETROS)."
activity_210101,210101,FABRICACION DE PAPEL Y CARTON Y ENVASES DE PAPEL Y CARTON
activity_210201,210201,FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON
activity_221101,221101,EDICION DE LIBROS DE TEXTOS
activity_221201,221201,"EDICION DE PERIODICOS, REVISTAS Y OTRAS PUBLICACIONES PERIODICAS"
activity_221901,221901,ARTES GRáFICAS
activity_222102,222102,TIPOGRAFIA  Y/O LITOGRAFIA (IMPRENTA)
activity_222104,222104,IMPRESIÓN DIGITAL
activity_222105,222105,SERIGRAFIA
activity_223001,223001,REPRODUCCION DE GRABACIONES
activity_232001,232001,REFINERIAS DE PETROLEO
activity_232002,232002,FABRICACIÓN DE PRODUCTOS DIVERSOS DERIVADOS DEL PETRÓLEO
activity_232005,232005,ELABORACION DE BIOCOMBUSTIBLES
activity_241101,241101,FABRICACION DE SUSTANCIAS QUIMICAS Y GASES INDUSTRIALES EXCEPTO ABONOS
activity_241201,241201,FABRICACION DE ABONOS Y COMPUESTOS DE NITROGENO (ORGANICOS Y QUIMICOS)
activity_241301,241301,FABRICACION DE PLASTICOS Y CAUCHO SINTETICO EN FORMAS PRIMARIAS
activity_241302,241302,FABRICACIÓN DE RESINAS
activity_242101,242101,FABRICACION DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO
activity_242201,242201,"FABRICACIÓN DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMI-TO SIMILARES"
activity_242202,242202,FABRICACION DE TINTAS DE IMPRENTAS
activity_242301,242301,"FABRICACIÓN PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS  Y PRODUCTOS BOTANICOS"
activity_242401,242401,"FABRICACION JABONES, DETERGENTES, PREPARADOS DE TOCADOR, PARA LIMPIAR PULIR "
activity_242404,242404,FABRICACION DE JABONES DE TOCADOR
activity_242405,242405,FABRICACION DE JABONES PARA LAVAR (EXCEPTO PREPARACIONES TENSO ACTIVAS USADAS
activity_242406,242406,"FABRICACION DE CERAS, ABRILLANTADORES, LUSTRADORES Y PREPARACIONES SIMILARES"
activity_242901,242901,FABRICACION DE OTROS PRODUCTOS QUIMICOS.
activity_242902,242902,FABRICACION DE PEGAMENTOS Y ADHESIVOS
activity_242903,242903,REPARACION DE ARMAS DE FUEGO
activity_243001,243001,FABRICACION DE FIBRAS SINTETICAS
activity_251101,251101,FABRICACION DE LLANTAS Y CUBIERTAS PARA EQUIPO Y MAQUINARIAMOVIL
activity_251102,251102,REENCAUCHADORA DE LLANTAS
activity_251901,251901,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO
activity_252001,252001,FABRICACION DE ARTICULOS DE PLASTICO
activity_261001,261001,FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO
activity_269101,269101,FABRICACIÓN PRODUCTOS DE CERÁMICA BARRO LOZA Y/O PORCELANANO REFRACTARIA USO NO ESTRUCTURAL
activity_269201,269201,FABRICACION DE PRODUCTOS DE CERAMICA REFRACTARIA
activity_269301,269301,FABRICACIÓN DE PRODUCTOS DE ARCILLA Y CERÁMICA NO REFRACTARIAS PARA USO ESTRUCTURAL
activity_269401,269401,"FABRICACIÓN Y/O VENTA DE CEMENTO, CAL Y YESO"
activity_269501,269501,"FABRICACION DE ARTÍCULOS DE CEMENTO, YESO Y HORMIGON PARA LA CONSTRUCCION"
activity_269601,269601,"CORTE, TALLADO Y ACABADO DE LA PIEDRA"
activity_269901,269901,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P.
activity_271001,271001,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO
